License Year, Hunting District,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points, 4 or More Points
2004,141,md,N,47,297,6,11,11,0,0,0,11,0,11
2004,141,md,R,126,986,8,16,16,0,0,0,16,2,14
2004,141,md,SUM,173,1283,7,26,26,0,0,0,26,2,24
2004,141,wt,N,47,297,6,0,0,0,0,0,0,0,0
2004,141,wt,R,126,986,8,12,10,2,0,0,12,6,4
2004,141,wt,SUM,173,1283,7,12,10,2,0,0,12,6,4
2004,150,all_deer,N,210,1473,7,53,53,0,0,0,53,21,32
2004,150,all_deer,R,60,387,6,16,12,4,0,0,16,0,12
2004,150,all_deer,SUM,270,1860,7,69,65,4,0,0,69,21,44
2004,150,md,N,210,1473,7,46,46,0,0,0,46,21,25
2004,150,md,R,60,387,6,4,4,0,0,0,4,0,4
2004,150,md,SUM,270,1860,7,50,50,0,0,0,50,21,29
2004,150,wt,N,210,1473,7,7,7,0,0,0,7,0,7
2004,150,wt,R,60,387,6,12,8,4,0,0,12,0,8
2004,150,wt,SUM,270,1860,7,19,15,4,0,0,19,0,15
2004,151,all_deer,N,83,528,6,7,7,0,0,0,7,0,7
2004,151,all_deer,R,8,51,7,4,4,0,0,0,4,0,4
2004,151,all_deer,SUM,91,579,6,11,11,0,0,0,11,0,11
2004,151,md,N,83,528,6,7,7,0,0,0,7,0,7
2004,151,md,R,8,51,7,4,4,0,0,0,4,0,4
2004,151,md,SUM,91,579,6,11,11,0,0,0,11,0,11
2004,170,all_deer,N,24,94,4,17,4,14,0,3,15,0,4
2004,170,all_deer,R,841,4509,5,621,279,335,7,61,561,89,183
2004,170,all_deer,SUM,866,4603,5,639,283,349,7,63,575,89,187
2004,170,md,N,24,94,4,0,0,0,0,0,0,0,0
2004,170,md,R,841,4509,5,17,14,3,0,0,17,10,4
2004,170,md,SUM,866,4603,5,17,14,3,0,0,17,10,4
2004,170,wt,N,24,94,4,17,4,14,0,3,15,0,4
2004,170,wt,R,841,4509,5,599,264,328,7,58,541,79,178
2004,170,wt,SUM,866,4603,5,616,267,342,7,61,556,79,181
2004,1XX,all_deer,N,199,1288,7,86,78,8,0,7,79,14,60
2004,1XX,all_deer,R,54,318,6,26,17,5,0,0,26,6,11
2004,1XX,all_deer,SUM,253,1606,6,112,95,13,0,7,105,20,71
2004,1XX,md,N,199,1288,7,33,28,4,0,0,33,4,25
2004,1XX,md,R,54,318,6,4,4,0,0,0,4,2,2
2004,1XX,md,SUM,253,1606,6,37,32,4,0,0,37,5,27
2004,1XX,wt,N,199,1288,7,50,50,0,0,7,43,11,36
2004,1XX,wt,R,54,318,6,18,13,5,0,0,18,4,9
2004,1XX,wt,SUM,253,1606,6,68,63,5,0,7,61,15,45
2004,200,all_deer,N,96,646,7,28,16,11,0,8,20,2,14
2004,200,all_deer,R,759,4967,7,278,196,78,4,17,260,88,95
2004,200,all_deer,SUM,855,5613,7,305,212,89,4,25,280,90,110
2004,200,md,N,96,646,7,0,0,0,0,0,0,0,0
2004,200,md,R,759,4967,7,43,41,1,0,2,41,23,18
2004,200,md,SUM,855,5613,7,43,41,1,0,2,41,23,18
2004,200,wt,N,96,646,7,28,16,11,0,8,20,2,14
2004,200,wt,R,759,4967,7,231,151,76,4,15,216,65,73
2004,200,wt,SUM,855,5613,7,259,167,88,4,23,235,67,87
2004,201,all_deer,N,91,424,5,36,28,8,0,3,34,7,21
2004,201,all_deer,R,2025,11961,6,841,554,282,5,74,767,191,332
2004,201,all_deer,SUM,2116,12385,6,878,582,290,5,77,801,198,353
2004,201,md,N,91,424,5,14,14,0,0,0,14,7,7
2004,201,md,R,2025,11961,6,117,114,3,0,4,113,44,62
2004,201,md,SUM,2116,12385,6,131,128,3,0,4,127,51,69
2004,201,wt,N,91,424,5,21,14,7,0,3,18,0,14
2004,201,wt,R,2025,11961,6,725,440,279,5,71,654,147,270
2004,201,wt,SUM,2116,12385,6,745,454,286,5,73,672,147,284
2004,202,all_deer,N,177,911,5,67,60,7,0,0,67,22,38
2004,202,all_deer,R,1661,10311,6,623,415,199,9,15,608,124,278
2004,202,all_deer,SUM,1837,11222,6,689,474,206,9,15,675,145,316
2004,202,md,N,177,911,5,16,16,0,0,0,16,3,13
2004,202,md,R,1661,10311,6,101,93,8,0,0,101,20,74
2004,202,md,SUM,1837,11222,6,117,109,8,0,0,117,23,86
2004,202,wt,N,177,911,5,51,44,7,0,0,51,19,25
2004,202,wt,R,1661,10311,6,522,321,192,9,15,507,104,205
2004,202,wt,SUM,1837,11222,6,573,365,199,9,15,558,123,229
2004,203,all_deer,N,51,247,5,18,14,4,0,0,18,4,7
2004,203,all_deer,R,1430,7317,5,437,373,60,4,21,416,135,235
2004,203,all_deer,SUM,1481,7564,5,455,388,64,4,21,434,138,242
2004,203,md,N,51,247,5,7,7,0,0,0,7,4,4
2004,203,md,R,1430,7317,5,115,111,0,4,4,111,41,71
2004,203,md,SUM,1481,7564,5,122,118,0,4,4,118,44,74
2004,203,wt,N,51,247,5,11,7,4,0,0,11,0,4
2004,203,wt,R,1430,7317,5,322,262,60,0,17,305,94,164
2004,203,wt,SUM,1481,7564,5,333,269,64,0,17,316,94,168
2004,204,all_deer,N,50,244,5,23,21,2,0,5,18,14,7
2004,204,all_deer,R,1695,10462,6,529,405,123,2,26,503,180,212
