License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Rams,Ewes,Lambs
2005,102,R,1,9,9,1,1,0,0,
2005,102,SUM,1,9,9,1,1,0,0,
2005,121,R,9,94,10,9,9,0,0,
2005,121,SUM,9,94,10,9,9,0,0,
2005,122,R,9,102,11,8,6,2,0,
2005,122,SUM,9,102,11,8,6,2,0,
2005,123,R,5,35,7,5,4,1,0,
2005,123,SUM,5,35,7,5,4,1,0,
2005,124,N,0,0,0,0,0,0,0,
2005,124,R,27,193,7,22,10,12,0,
2005,124,SUM,27,193,7,22,10,12,0,
2005,203,R,8,100,13,8,3,5,0,
2005,203,SUM,8,100,13,8,3,5,0,
2005,210,R,4,30,8,4,4,0,0,
2005,210,SUM,4,30,8,4,4,0,0,
2005,212,R,1,1,1,1,1,0,0,
2005,212,SUM,1,1,1,1,1,0,0,
2005,213,R,11,46,4,11,6,5,0,
2005,213,SUM,11,46,4,11,6,5,0,
2005,216,N,1,1,1,1,0,1,0,
2005,216,R,17,96,6,16,7,8,0,
2005,216,SUM,18,97,5,17,7,9,0,
2005,250,R,2,15,8,2,2,0,0,
2005,250,SUM,2,15,8,2,2,0,0,
2005,261,R,2,33,17,2,2,0,0,
2005,261,SUM,2,33,17,2,2,0,0,
2005,270,R,16,143,9,16,8,8,0,
2005,270,SUM,16,143,9,16,8,8,0,
2005,283,R,8,44,6,8,3,5,0,
2005,283,SUM,8,44,6,8,3,5,0,
2005,300,N,9,34,4,1,1,0,0,
2005,300,R,20,75,4,1,0,0,0,
2005,300,SUM,29,109,4,2,1,0,0,
2005,303,N,4,28,8,1,1,0,0,
2005,303,R,11,103,9,2,2,0,0,
2005,303,SUM,15,131,9,3,3,0,0,
2005,304,R,1,1,1,1,1,0,0,
2005,304,SUM,1,1,1,1,1,0,0,
2005,305,R,1,10,10,1,1,0,0,
2005,305,SUM,1,10,10,1,1,0,0,
2005,315,R,2,24,12,2,2,0,0,
2005,315,SUM,2,24,12,2,2,0,0,
2005,340,R,3,14,5,3,3,0,0,
2005,340,SUM,3,14,5,3,3,0,0,
2005,380,R,3,17,6,3,3,0,0,
2005,380,SUM,3,17,6,3,3,0,0,
2005,381,R,1,8,8,1,1,0,0,
2005,381,SUM,1,8,8,1,1,0,0,
2005,421,R,1,9,9,1,1,0,0,
2005,421,SUM,1,9,9,1,1,0,0,
2005,422,R,19,57,3,18,5,13,0,
2005,422,SUM,19,57,3,18,5,13,0,
2005,423,R,15,58,4,11,2,9,0,
2005,423,SUM,15,58,4,11,2,9,0,
2005,424,R,16,61,4,14,5,9,0,
2005,424,SUM,16,61,4,14,5,9,0,
2005,441,R,5,20,4,5,5,0,0,
2005,441,SUM,5,20,4,5,5,0,0,
2005,455,R,1,3,3,1,1,0,0,
2005,455,SUM,1,3,3,1,1,0,0,
2005,482,N,1,1,1,1,1,0,0,
2005,482,R,10,69,7,10,9,1,0,
2005,482,SUM,11,70,6,11,10,1,0,
2005,500,N,15,113,8,0,0,0,0,
2005,500,R,11,76,7,1,1,0,0,
2005,500,SUM,25,189,7,1,1,0,0,
2005,501,N,4,22,5,1,1,0,0,
2005,501,R,37,145,4,2,2,0,0,
2005,501,SUM,41,167,4,3,3,0,0,
2005,503,R,3,7,2,3,3,0,0,
2005,503,SUM,3,7,2,3,3,0,0,
2005,622,R,4,29,7,4,4,0,0,
2005,622,SUM,4,29,7,4,4,0,0,
2005,680,N,1,5,5,1,1,0,0,
2005,680,R,33,145,5,27,14,10,0,
2005,680,SUM,34,150,5,28,15,10,0,
2005,Reg_1,N,0,0,0,0,0,0,0,
2005,Reg_1,R,51,433,9,45,30,15,0,
2005,Reg_1,SUM,51,433,9,45,30,15,0,
2005,Reg_2,N,1,1,1,1,0,1,0,
2005,Reg_2,R,69,508,7,68,36,31,0,
2005,Reg_2,SUM,70,509,7,69,36,32,0,
2005,Reg_3,N,13,62,5,2,2,0,0,
2005,Reg_3,R,42,252,6,14,13,0,0,
2005,Reg_3,SUM,55,314,6,16,15,0,0,
2005,Reg_4,N,1,1,1,1,1,0,0,
2005,Reg_4,R,67,277,4,59,28,31,0,
2005,Reg_4,SUM,68,278,4,60,29,31,0,
2005,Reg_5,N,19,134,7,1,1,0,0,
2005,Reg_5,R,50,228,5,6,6,0,0,
2005,Reg_5,SUM,69,363,5,7,7,0,0,
2005,Reg_6,N,1,5,5,1,1,0,0,
2005,Reg_6,R,37,175,5,31,18,10,0,
2005,Reg_6,SUM,38,180,5,32,19,10,0,
2005,State,N,36,226,6,6,5,1,0,
2005,State,R,316,1873,6,223,131,88,0,
2005,State,SUM,352,2100,6,230,137,89,0,
2006,122,R,4,23,6,1,0,1,0,
2006,122,SUM,4,23,6,1,0,1,0,
2006,124,N,0,0,0,0,0,0,0,
2006,124,R,18,496,28,17,0,17,0,
2006,124,SUM,18,496,28,17,0,17,0,
2006,203,R,4,16,4,4,0,4,0,
2006,203,SUM,4,16,4,4,0,4,0,
2006,210,N,0,0,0,0,0,0,0,
2006,210,R,8,13,2,8,0,8,0,
2006,210,SUM,8,13,2,8,0,8,0,
2006,213,R,5,12,2,5,0,5,0,
2006,213,SUM,5,12,2,5,0,5,0,
2006,216,R,9,1572,175,9,0,9,0,
2006,216,SUM,9,1572,175,9,0,9,0,
2006,270,N,0,0,0,0,0,0,0,
2006,270,R,7,25,4,6,0,6,0,
2006,270,SUM,7,25,4,6,0,6,0,
2006,283,R,5,19,4,5,0,5,0,
2006,283,SUM,5,19,4,5,0,5,0,
2006,380,R,2,3,2,2,0,2,0,
2006,380,SUM,2,3,2,2,0,2,0,
2006,422,R,18,50,3,17,0,17,0,
2006,422,SUM,18,50,3,17,0,17,0,
2006,423,N,1,4,4,1,0,1,0,
2006,423,R,7,21,3,6,0,6,0,
2006,423,SUM,8,25,3,7,0,7,0,
2006,424,R,15,53,4,14,0,14,0,
2006,424,SUM,15,53,4,14,0,14,0,
2006,482,N,0,0,0,0,0,0,0,
2006,482,R,12,17,1,12,0,12,0,
2006,482,SUM,12,17,1,12,0,12,0,
2006,680,N,1,1,1,1,0,1,0,
2006,680,R,27,64,2,20,0,20,0,
2006,680,SUM,28,65,2,21,0,21,0,
2006,Reg_1,N,0,0,0,0,0,0,0,
2006,Reg_1,R,22,519,24,18,0,18,0,
2006,Reg_1,SUM,22,519,24,18,0,18,0,
2006,Reg_2,N,0,0,0,0,0,0,0,
2006,Reg_2,R,38,1657,44,37,0,37,0,
2006,Reg_2,SUM,38,1657,44,37,0,37,0,
2006,Reg_3,R,2,3,2,2,0,2,0,
2006,Reg_3,SUM,2,3,2,2,0,2,0,
2006,Reg_4,N,1,4,4,1,0,1,0,
2006,Reg_4,R,52,141,3,48,0,48,0,
2006,Reg_4,SUM,53,145,3,49,0,49,0,
2006,Reg_6,N,1,1,1,1,0,1,0,
2006,Reg_6,R,27,64,2,20,0,20,0,
2006,Reg_6,SUM,28,65,2,21,0,21,0,
2006,State,N,2,5,3,2,0,2,0,
2006,State,R,141,2383,17,126,0,126,0,
2006,State,SUM,143,2388,17,128,0,128,0,
2007,100,R,1,0,0,1,1,0,0,
2007,100,SUM,1,0,0,1,1,0,0,
2007,102,R,1,8,8,1,1,0,0,
2007,102,SUM,1,8,8,1,1,0,0,
2007,121,N,1,8,8,1,1,0,0,
2007,121,R,9,58,6,9,9,0,0,
2007,121,SUM,10,66,7,10,10,0,0,
2007,122,R,6,65,8,6,6,0,0,
2007,122,SUM,6,65,8,6,6,0,0,
2007,123,R,5,87,21,4,3,1,0,
2007,123,SUM,5,87,21,4,3,1,0,
2007,124,N,3,11,6,3,2,1,0,
2007,124,R,22,121,5,19,12,7,0,
2007,124,SUM,25,132,5,22,14,8,0,
2007,203,N,2,4,2,2,1,1,0,
2007,203,R,13,97,8,13,4,9,0,
2007,203,SUM,15,101,7,15,5,10,0,
2007,210,N,0,0,0,0,0,0,0,
2007,210,R,10,26,2,10,4,6,0,
2007,210,SUM,10,26,2,10,4,6,0,
2007,212,R,1,8,8,1,1,0,0,
2007,212,SUM,1,8,8,1,1,0,0,
2007,213,R,28,148,5,28,9,19,0,
2007,213,SUM,28,148,5,28,9,19,0,
2007,216,N,0,0,0,0,0,0,0,
2007,216,R,20,58,3,18,4,14,0,
2007,216,SUM,20,58,3,18,4,14,0,
2007,250,R,3,48,16,2,2,0,0,
2007,250,SUM,3,48,16,2,2,0,0,
2007,261,R,5,21,4,5,5,0,0,
2007,261,SUM,5,21,4,5,5,0,0,
2007,270,N,2,3,2,2,1,1,0,
2007,270,R,15,70,5,15,7,8,0,
2007,270,SUM,17,73,4,17,8,9,0,
2007,283,N,0,0,0,0,0,0,0,
2007,283,R,9,50,5,9,3,6,0,
2007,283,SUM,9,50,5,9,3,6,0,
2007,300,N,6,39,7,0,0,0,0,
2007,300,R,26,172,7,0,0,0,0,
2007,300,SUM,32,211,7,0,0,0,0,
2007,303,N,1,7,7,0,0,0,0,
2007,303,R,21,262,12,3,3,0,0,
2007,303,SUM,22,269,12,3,3,0,0,
2007,304,R,1,13,13,1,1,0,0,
2007,304,SUM,1,13,13,1,1,0,0,
2007,305,R,1,9,9,1,1,0,0,
2007,305,SUM,1,9,9,1,1,0,0,
2007,315,R,2,25,13,2,2,0,0,
2007,315,SUM,2,25,13,2,2,0,0,
2007,380,R,11,57,5,11,4,7,0,
2007,380,SUM,11,57,5,11,4,7,0,
2007,381,R,1,1,1,1,1,0,0,
2007,381,SUM,1,1,1,1,1,0,0,
2007,421,R,2,3,2,2,2,0,0,
2007,421,SUM,2,3,2,2,2,0,0,
2007,422,N,2,2,1,0,0,0,0,
2007,422,R,22,55,3,22,6,16,0,
2007,422,SUM,24,57,2,22,6,16,0,
2007,423,N,0,0,0,0,0,0,0,
2007,423,R,14,69,5,11,6,5,0,
2007,423,SUM,14,69,5,11,6,5,0,
2007,424,N,1,1,0,1,1,0,0,
2007,424,R,18,99,6,14,5,9,0,
2007,424,SUM,19,100,6,15,6,9,0,
2007,441,N,1,3,3,1,1,0,0,
2007,441,R,4,52,13,4,4,0,0,
2007,441,SUM,5,55,11,5,5,0,0,
2007,455,R,1,14,14,1,1,0,0,
2007,455,SUM,1,14,14,1,1,0,0,
2007,482,N,1,4,4,1,1,0,0,
2007,482,R,31,186,6,31,15,16,0,
2007,482,SUM,32,190,6,32,16,16,0,
2007,500,N,9,76,9,1,1,0,0,
2007,500,R,23,64,3,3,2,0,0,
2007,500,SUM,31,140,5,4,3,0,0,
2007,501,N,16,112,7,1,1,0,0,
2007,501,R,34,184,6,2,2,0,0,
2007,501,SUM,50,296,6,3,3,0,0,
2007,503,R,3,62,21,3,3,0,0,
2007,503,SUM,3,62,21,3,3,0,0,
2007,622,N,1,2,2,1,1,0,0,
2007,622,R,6,46,8,6,6,0,0,
2007,622,SUM,7,48,7,7,7,0,0,
2007,680,N,3,5,2,3,0,3,0,
2007,680,R,53,138,3,45,18,27,0,
2007,680,SUM,56,143,3,48,18,30,0,
2007,Reg_1,N,4,19,5,4,3,1,0,
2007,Reg_1,R,44,339,8,40,32,8,0,
2007,Reg_1,SUM,48,358,8,44,35,9,0,
2007,Reg_2,N,4,7,1,4,2,2,0,
2007,Reg_2,R,104,526,5,101,39,63,0,
2007,Reg_2,SUM,108,533,5,105,41,65,0,
2007,Reg_3,N,7,46,7,0,0,0,0,
2007,Reg_3,R,63,539,9,19,12,7,0,
2007,Reg_3,SUM,70,585,8,19,12,7,0,
2007,Reg_4,N,5,10,2,3,3,0,0,
2007,Reg_4,R,92,478,5,84,39,45,0,
2007,Reg_4,SUM,97,488,5,87,42,45,0,
2007,Reg_5,N,25,188,8,2,2,0,0,
2007,Reg_5,R,59,310,5,8,7,0,0,
2007,Reg_5,SUM,84,498,6,10,9,0,0,
2007,Reg_6,N,4,7,1,4,1,3,0,
2007,Reg_6,R,59,184,3,51,24,27,0,
2007,Reg_6,SUM,63,191,3,55,25,30,0,
2007,State,N,51,280,6,17,11,6,0,
2007,State,R,422,2376,6,304,153,150,0,
2007,State,SUM,473,2656,6,321,164,156,0,
2008,100,R,2,20,10,2,2,0,0,
2008,100,SUM,2,20,10,2,2,0,0,
2008,102,R,1,15,15,1,1,0,0,
2008,102,SUM,1,15,15,1,1,0,0,
2008,121,N,1,7,7,1,1,0,0,
2008,121,R,11,51,5,11,8,3,0,
2008,121,SUM,12,58,5,12,9,3,0,
2008,122,N,1,5,5,1,1,0,0,
2008,122,R,9,65,6,9,5,4,0,
2008,122,SUM,10,70,6,10,6,4,0,
2008,123,R,5,77,15,4,3,1,0,
2008,123,SUM,5,77,15,4,3,1,0,
2008,124,N,1,2,1,1,1,0,0,
2008,124,R,26,128,5,21,7,14,0,
2008,124,SUM,27,130,5,22,8,14,0,
2008,203,N,0,0,0,0,0,0,0,
2008,203,R,11,123,10,10,5,5,0,
2008,203,SUM,11,123,10,10,5,5,0,
2008,210,N,1,3,3,1,1,0,0,
2008,210,R,10,80,7,10,8,2,0,
2008,210,SUM,11,83,7,11,9,2,0,
2008,212,N,1,5,5,1,1,0,0,
2008,212,SUM,1,5,5,1,1,0,0,
2008,213,N,2,40,20,0,0,0,0,
2008,213,R,22,140,6,18,7,11,0,
2008,213,SUM,24,180,8,18,7,11,0,
2008,216,N,1,4,4,1,0,1,0,
2008,216,R,22,133,6,19,7,12,0,
2008,216,SUM,23,137,6,20,7,13,0,
2008,250,R,3,44,15,3,3,0,0,
2008,250,SUM,3,44,15,3,3,0,0,
2008,261,R,5,42,8,5,5,0,0,
2008,261,SUM,5,42,8,5,5,0,0,
2008,270,N,0,0,0,0,0,0,0,
2008,270,R,14,41,3,14,8,6,0,
2008,270,SUM,14,41,3,14,8,6,0,
2008,283,R,12,58,5,11,3,8,0,
2008,283,SUM,12,58,5,11,3,8,0,
2008,300,N,3,17,3,1,1,0,0,
2008,300,R,21,70,3,2,1,0,0,
2008,300,SUM,25,86,3,3,2,0,0,
2008,301,R,5,62,12,5,5,0,0,
2008,301,SUM,5,62,12,5,5,0,0,
2008,303,N,10,83,9,2,2,0,0,
2008,303,R,17,135,8,1,1,0,0,
2008,303,SUM,27,217,8,3,3,0,0,
2008,304,R,1,13,13,0,0,0,0,
2008,304,SUM,1,13,13,0,0,0,0,
2008,305,R,1,15,15,1,1,0,0,
2008,305,SUM,1,15,15,1,1,0,0,
2008,315,R,2,37,19,2,2,0,0,
2008,315,SUM,2,37,19,2,2,0,0,
2008,381,R,1,30,30,1,1,0,0,
2008,381,SUM,1,30,30,1,1,0,0,
2008,421,N,1,5,5,1,1,0,0,
2008,421,R,1,13,13,1,1,0,0,
2008,421,SUM,2,18,9,2,2,0,0,
2008,422,N,1,1,1,1,1,0,0,
2008,422,R,24,79,3,22,6,16,0,
2008,422,SUM,25,80,3,23,7,16,0,
2008,423,N,1,4,4,1,1,0,0,
2008,423,R,12,76,6,4,4,0,0,
2008,423,SUM,13,80,6,5,5,0,0,
2008,424,R,23,114,5,16,6,10,0,
2008,424,SUM,23,114,5,16,6,10,0,
2008,441,R,4,22,4,4,4,0,0,
2008,441,SUM,4,22,4,4,4,0,0,
2008,455,R,2,10,5,2,2,0,0,
2008,455,SUM,2,10,5,2,2,0,0,
2008,482,N,1,2,1,1,1,0,0,
2008,482,R,29,129,4,29,13,16,0,
2008,482,SUM,30,131,4,30,14,16,0,
2008,500,N,7,53,8,0,0,0,0,
2008,500,R,28,150,6,0,0,0,0,
2008,500,SUM,34,202,6,0,0,0,0,
2008,501,N,14,79,6,1,1,0,0,
2008,501,R,40,281,7,2,2,0,0,
2008,501,SUM,54,361,7,3,3,0,0,
2008,502,N,4,25,7,0,0,0,0,
2008,502,R,24,283,12,1,1,0,0,
2008,502,SUM,28,308,11,1,1,0,0,
2008,503,R,3,22,7,3,3,0,0,
2008,503,SUM,3,22,7,3,3,0,0,
2008,620,N,0,0,0,0,0,0,0,
2008,620,R,0,0,0,0,0,0,0,
2008,620,SUM,0,0,0,0,0,0,0,
2008,622,R,8,50,6,8,6,2,0,
2008,622,SUM,8,50,6,8,6,2,0,
2008,680,N,3,11,2,3,2,1,0,
2008,680,R,59,301,5,39,17,22,0,
2008,680,SUM,62,312,5,42,19,23,0,
2008,Reg_1,N,3,14,3,3,3,0,0,
2008,Reg_1,R,53,356,6,47,26,21,0,
2008,Reg_1,SUM,56,9,2,50,29,21,0,
2008,Reg_2,N,5,52,12,3,2,1,0,
2008,Reg_2,R,99,661,6,90,46,44,0,
2008,Reg_2,SUM,104,19,3,93,48,45,0,
2008,Reg_3,N,13,99,8,3,3,0,0,
2008,Reg_3,R,49,361,7,12,11,0,0,
2008,Reg_3,SUM,61,15,5,15,14,0,0,
2008,Reg_4,N,4,12,2,4,4,0,0,
2008,Reg_4,R,95,443,5,79,36,43,0,
2008,Reg_4,SUM,99,6,2,83,40,43,0,
2008,Reg_5,N,24,157,6,1,1,0,0,
2008,Reg_5,R,95,736,8,6,6,0,0,
2008,Reg_5,SUM,119,14,7,7,7,0,0,
2008,Reg_6,N,3,11,2,3,2,1,0,
2008,Reg_6,R,67,351,5,47,23,24,0,
2008,Reg_6,SUM,70,7,3,50,25,25,0,
2008,State,N,53,349,7,17,15,2,0,
2008,State,R,458,2912,6,281,148,132,0,
2008,State,SUM,511,3260,6,298,163,134,0,
2009,100,R,2,21,11,2,2,0,0,
2009,100,SUM,2,21,11,2,2,0,0,
2009,102,R,1,15,15,1,1,0,0,
2009,102,SUM,1,15,15,1,1,0,0,
2009,121,N,1,1,1,1,1,0,0,
2009,121,R,14,105,8,14,9,5,0,
2009,121,SUM,15,106,8,15,10,5,0,
2009,122,N,0,0,0,0,0,0,0,
2009,122,R,13,72,5,11,5,6,0,
2009,122,SUM,13,72,5,11,5,6,0,
2009,123,R,5,96,19,2,2,0,0,
2009,123,SUM,5,96,19,2,2,0,0,
2009,124,N,1,1,1,1,1,0,0,
2009,124,R,7,52,7,7,5,2,0,
2009,124,SUM,8,53,6,8,6,2,0,
2009,203,N,0,0,0,0,0,0,0,
2009,203,R,9,147,16,9,5,4,0,
2009,203,SUM,9,147,15,9,5,4,0,
2009,210,N,1,6,6,1,1,0,0,
2009,210,R,5,57,11,4,3,1,0,
2009,210,SUM,6,63,11,5,4,1,0,
2009,212,R,1,22,22,1,1,0,0,
2009,212,SUM,1,22,22,1,1,0,0,
2009,213,N,1,1,1,0,0,0,0,
2009,213,R,38,199,5,38,8,30,0,
2009,213,SUM,39,200,5,38,8,30,0,
2009,216,N,0,0,0,0,0,0,0,
2009,216,R,27,173,7,26,8,16,1,
2009,216,SUM,27,173,6,26,8,16,1,
2009,250,N,2,7,4,2,2,0,0,
2009,250,R,1,8,8,1,1,0,0,
2009,250,SUM,3,15,5,3,3,0,0,
2009,261,N,1,5,5,1,1,0,0,
2009,261,R,4,50,13,4,4,0,0,
2009,261,SUM,5,55,11,5,5,0,0,
2009,270,N,0,0,0,0,0,0,0,
2009,270,R,17,129,8,17,8,9,0,
2009,270,SUM,17,129,7,17,8,9,0,
2009,283,R,8,53,7,5,2,3,0,
2009,283,SUM,8,53,7,5,2,3,0,
2009,300,N,9,52,6,1,1,0,0,
2009,300,R,21,89,4,1,1,0,0,
2009,300,SUM,30,141,5,2,2,0,0,
2009,301,R,5,42,8,5,5,0,0,
2009,301,SUM,5,42,8,5,5,0,0,
2009,303,N,3,33,11,0,0,0,0,
2009,303,R,15,107,7,0,0,0,0,
2009,303,SUM,18,140,8,0,0,0,0,
2009,304,R,1,30,30,0,0,0,0,
2009,304,SUM,1,30,30,0,0,0,0,
2009,305,R,1,20,20,1,1,0,0,
2009,305,SUM,1,20,20,1,1,0,0,
2009,315,R,2,22,11,2,2,0,0,
2009,315,SUM,2,22,11,2,2,0,0,
2009,381,R,1,5,5,1,1,0,0,
2009,381,SUM,1,5,5,1,1,0,0,
2009,421,N,1,8,8,1,1,0,0,
2009,421,R,1,8,8,1,1,0,0,
2009,421,SUM,2,16,8,2,2,0,0,
2009,422,N,0,0,0,0,0,0,0,
2009,422,R,30,106,3,30,8,21,1,
2009,422,SUM,30,106,3,30,8,21,1,
2009,423,N,0,0,0,0,0,0,0,
2009,423,R,12,56,5,10,5,5,0,
2009,423,SUM,12,56,5,10,5,5,0,
2009,424,N,0,0,0,0,0,0,0,
2009,424,R,27,146,5,22,4,18,0,
2009,424,SUM,27,146,5,22,4,18,0,
2009,441,N,1,2,2,1,1,0,0,
2009,441,R,4,31,8,3,3,0,0,
2009,441,SUM,5,33,7,4,4,0,0,
2009,455,R,1,3,3,1,1,0,0,
2009,455,SUM,1,3,3,1,1,0,0,
2009,482,N,2,6,4,2,1,1,0,
2009,482,R,30,180,6,26,14,12,0,
2009,482,SUM,32,186,6,28,15,13,0,
2009,500,N,5,45,10,1,1,0,0,
2009,500,R,14,66,5,1,1,0,0,
2009,500,SUM,18,110,6,2,2,0,0,
2009,501,N,6,47,8,0,0,0,0,
2009,501,R,50,295,6,2,2,0,0,
2009,501,SUM,56,342,6,2,2,0,0,
2009,502,N,7,48,7,0,0,0,0,
2009,502,R,18,178,10,1,1,0,0,
2009,502,SUM,25,226,9,1,1,0,0,
2009,503,R,3,16,5,3,3,0,0,
2009,503,SUM,3,16,5,3,3,0,0,
2009,622,R,8,43,5,8,7,1,0,
2009,622,SUM,8,43,5,8,7,1,0,
2009,680,N,3,11,3,2,2,0,0,
2009,680,R,66,286,4,46,17,29,0,
2009,680,SUM,69,297,4,48,19,29,0,
2009,Reg_1,N,2,2,1,2,2,0,0,
2009,Reg_1,R,42,361,9,37,24,13,0,
2009,Reg_1,SUM,44,363,8,39,26,13,0,
2009,Reg_2,N,5,19,3,4,4,0,0,
2009,Reg_2,R,110,839,8,104,40,63,1,
2009,Reg_2,SUM,115,858,7,108,44,63,1,
2009,Reg_3,N,12,85,7,1,1,0,0,
2009,Reg_3,R,46,315,7,10,10,0,0,
2009,Reg_3,SUM,58,401,7,11,11,0,0,
2009,Reg_4,N,4,16,5,4,3,1,0,
2009,Reg_4,R,105,530,5,94,36,57,1,
2009,Reg_4,SUM,109,546,5,98,39,58,1,
2009,Reg_5,N,18,140,8,1,1,0,0,
2009,Reg_5,R,84,554,7,7,7,0,0,
2009,Reg_5,SUM,102,694,7,8,8,0,0,
2009,Reg_6,N,3,11,3,2,2,0,0,
2009,Reg_6,R,74,329,4,54,24,30,0,
